Date,TimeSeries.TotalReturnIndex
31/12/1992,100.000000000000000
31/01/1993,98.847000000000000
28/02/1993,108.783000000000000
31/03/1993,97.123000000000000
30/04/1993,91.766000000000000
31/05/1993,86.249000000000000
30/06/1993,82.325000000000000
31/07/1993,72.616000000000000
31/08/1993,84.883000000000000
30/09/1993,90.521000000000000
31/10/1993,99.228000000000000
30/11/1993,107.376000000000000
31/12/1993,133.521000000000000
31/01/1994,115.750000000000000
28/02/1994,109.540000000000000
31/03/1994,89.557000000000000
30/04/1994,87.489000000000000
31/05/1994,91.550000000000000
30/06/1994,81.630000000000000
31/07/1994,91.135000000000000
31/08/1994,96.395000000000000
30/09/1994,97.659000000000000
31/10/1994,93.891000000000000
30/11/1994,81.695000000000000
31/12/1994,71.585000000000000
31/01/1995,61.702000000000000
28/02/1995,68.747000000000000
31/03/1995,68.862000000000000
30/04/1995,61.652000000000000
31/05/1995,72.639000000000000
30/06/1995,71.800000000000000
31/07/1995,75.384000000000000
31/08/1995,71.013000000000000
30/09/1995,67.882000000000000
31/10/1995,63.676000000000000
30/11/1995,59.205000000000000
31/12/1995,56.453000000000000
31/01/1996,65.098000000000000
29/02/1996,67.024000000000000
31/03/1996,63.950000000000000
30/04/1996,60.576000000000000
31/05/1996,63.365000000000000
30/06/1996,64.387000000000000
31/07/1996,62.104000000000000
31/08/1996,61.901000000000000
30/09/1996,61.185000000000000
31/10/1996,59.680000000000000
30/11/1996,66.569000000000000
31/12/1996,77.620000000000000
31/01/1997,75.986000000000000
28/02/1997,78.191000000000000
31/03/1997,75.963000000000000
30/04/1997,85.979000000000000
31/05/1997,85.023000000000000
30/06/1997,86.916000000000000
31/07/1997,98.776000000000000
31/08/1997,104.666000000000000
30/09/1997,87.180000000000000
31/10/1997,72.969000000000000
30/11/1997,59.766000000000000
31/12/1997,58.084000000000000
31/01/1998,43.276000000000000
28/02/1998,58.650000000000000
31/03/1998,57.168000000000000
30/04/1998,51.269000000000000
31/05/1998,44.553000000000000
30/06/1998,37.605000000000000
31/07/1998,30.799000000000000
31/08/1998,22.460000000000000
30/09/1998,32.162000000000000
31/10/1998,35.356000000000000
30/11/1998,36.469000000000000
31/12/1998,33.476000000000000
31/01/1999,27.258000000000000
28/02/1999,26.100000000000000
31/03/1999,29.652000000000000
30/04/1999,37.103000000000000
31/05/1999,37.209000000000000
30/06/1999,54.657000000000000
31/07/1999,47.844000000000000
31/08/1999,47.480000000000000
30/09/1999,45.593000000000000
31/10/1999,41.919000000000000
30/11/1999,41.107000000000000
31/12/1999,38.041000000000000
31/01/2000,36.407000000000000
29/02/2000,29.730000000000000
31/03/2000,30.422000000000000
30/04/2000,33.302000000000000
31/05/2000,33.906000000000000
30/06/2000,38.453000000000000
31/07/2000,37.740000000000000
31/08/2000,36.208000000000000
30/09/2000,31.793000000000000
31/10/2000,30.320000000000000
30/11/2000,26.284000000000000
31/12/2000,26.500000000000000
31/01/2001,30.339000000000000
28/02/2001,27.574000000000000
31/03/2001,23.100000000000000
30/04/2001,25.443000000000000
31/05/2001,26.140000000000000
30/06/2001,27.003000000000000
31/07/2001,23.344000000000000
31/08/2001,18.292000000000000
30/09/2001,17.669000000000000
31/10/2001,18.121000000000000
30/11/2001,19.884000000000000
31/12/2001,19.948000000000000
31/01/2002,18.080000000000000
28/02/2002,18.225000000000000
31/03/2002,19.255000000000000
30/04/2002,20.095000000000000
31/05/2002,20.404000000000000
30/06/2002,19.719000000000000
31/07/2002,18.858000000000000
31/08/2002,18.491000000000000
30/09/2002,17.018000000000000
31/10/2002,17.115000000000000
30/11/2002,17.821000000000000
31/12/2002,17.147000000000000
31/01/2003,17.971000000000000
28/02/2003,17.521000000000000
31/03/2003,16.847000000000000
30/04/2003,16.869000000000000
31/05/2003,19.023000000000000
30/06/2003,20.241000000000000
31/07/2003,22.250000000000000
31/08/2003,23.731000000000000
30/09/2003,23.746000000000000
31/10/2003,27.431000000000000
30/11/2003,27.709000000000000
31/12/2003,32.021000000000000
31/01/2004,31.861000000000000
29/02/2004,33.882000000000000
31/03/2004,31.056000000000000
30/04/2004,27.028000000000000
31/05/2004,28.863000000000000
30/06/2004,28.708000000000000
31/07/2004,28.814000000000000
31/08/2004,28.933000000000000
30/09/2004,31.071000000000000
31/10/2004,30.257000000000000
30/11/2004,33.270000000000000
31/12/2004,32.664000000000000
31/01/2005,32.064000000000000
28/02/2005,34.436000000000000
31/03/2005,32.662000000000000
30/04/2005,32.781000000000000
31/05/2005,33.030000000000000
30/06/2005,34.382000000000000
31/07/2005,36.882000000000000
31/08/2005,37.074000000000000
30/09/2005,39.181000000000000
31/10/2005,35.319000000000000
30/11/2005,37.816000000000000
31/12/2005,39.024000000000000
31/01/2006,44.536000000000000
28/02/2006,45.948000000000000
31/03/2006,47.423000000000000
30/04/2006,49.868000000000000
31/05/2006,47.321000000000000
30/06/2006,48.359000000000000
31/07/2006,49.669000000000000
31/08/2006,50.788000000000000
30/09/2006,52.783000000000000
31/10/2006,56.339000000000000
30/11/2006,62.482000000000000
31/12/2006,71.581000000000000
31/01/2007,68.827000000000000
28/02/2007,67.646000000000000
31/03/2007,70.271000000000000
30/04/2007,72.980000000000000
31/05/2007,78.371000000000000
30/06/2007,87.493000000000000
31/07/2007,96.651000000000000
31/08/2007,103.225000000000000
30/09/2007,123.362000000000000
31/10/2007,143.503000000000000
30/11/2007,124.662000000000000
31/12/2007,119.300000000000000
31/01/2008,93.566000000000000
29/02/2008,103.446000000000000
31/03/2008,90.874000000000000
30/04/2008,105.217000000000000
31/05/2008,100.117000000000000
30/06/2008,87.893000000000000
31/07/2008,89.973000000000000
31/08/2008,82.638000000000000
30/09/2008,65.450000000000000
31/10/2008,50.475000000000000
30/11/2008,52.769000000000000
31/12/2008,58.311000000000000
31/01/2009,53.499000000000000
28/02/2009,51.803000000000000
31/03/2009,59.086000000000000
30/04/2009,65.649000000000000
31/05/2009,77.085000000000000
30/06/2009,80.246000000000000
31/07/2009,88.939000000000000
31/08/2009,82.693000000000000
30/09/2009,86.553000000000000
31/10/2009,92.132000000000000
30/11/2009,94.395000000000000
31/12/2009,94.877000000000000
31/01/2010,86.816000000000000
28/02/2010,88.691000000000000
31/03/2010,93.511000000000000
30/04/2010,93.191000000000000
31/05/2010,88.456000000000000
30/06/2010,89.581000000000000
31/07/2010,93.235000000000000
31/08/2010,90.822000000000000
30/09/2010,98.891000000000000
31/10/2010,102.597000000000000
30/11/2010,100.328000000000000
31/12/2010,99.713000000000000
31/01/2011,99.474000000000000
28/02/2011,97.598000000000000
31/03/2011,102.648000000000000
30/04/2011,104.174000000000000
31/05/2011,104.685000000000000
30/06/2011,100.895000000000000
31/07/2011,100.235000000000000
31/08/2011,90.839000000000000
30/09/2011,75.517000000000000
31/10/2011,86.747000000000000
30/11/2011,79.566000000000000
31/12/2011,81.448000000000000
31/01/2012,90.126000000000000
29/02/2012,96.014000000000000
31/03/2012,89.496000000000000
30/04/2012,92.602000000000000
31/05/2012,82.922000000000000
30/06/2012,84.713000000000000
31/07/2012,85.893000000000000
31/08/2012,83.229000000000000
30/09/2012,88.676000000000000
31/10/2012,93.705000000000000
30/11/2012,95.457000000000000
31/12/2012,100.062000000000000
31/01/2013,104.251000000000000
28/02/2013,100.143000000000000
31/03/2013,95.665000000000000
30/04/2013,96.727000000000000
31/05/2013,95.933000000000000
30/06/2013,89.337000000000000
31/07/2013,92.958000000000000
31/08/2013,95.202000000000000
30/09/2013,100.263000000000000
31/10/2013,102.754000000000000
30/11/2013,107.743000000000000
31/12/2013,104.063000000000000
31/01/2014,97.230000000000000
28/02/2014,99.734000000000000
31/03/2014,98.001000000000000
30/04/2014,95.715000000000000
31/05/2014,100.228000000000000
30/06/2014,103.496000000000000
31/07/2014,111.939000000000000
31/08/2014,112.192000000000000
30/09/2014,105.276000000000000
31/10/2014,109.674000000000000
30/11/2014,111.389000000000000
31/12/2014,112.677000000000000
31/01/2015,115.205000000000000
28/02/2015,118.970000000000000
31/03/2015,121.796000000000000
30/04/2015,142.073000000000000
31/05/2015,136.838000000000000
30/06/2015,129.356000000000000
31/07/2015,115.445000000000000
31/08/2015,101.928000000000000
30/09/2015,99.995000000000000
31/10/2015,109.075000000000000
30/11/2015,105.422000000000000
31/12/2015,104.027000000000000
31/01/2016,91.135000000000000
29/02/2016,88.764000000000000
31/03/2016,99.107000000000000
30/04/2016,98.918000000000000
31/05/2016,98.310000000000000
30/06/2016,99.416000000000000
31/07/2016,102.920000000000000
31/08/2016,110.469000000000000
30/09/2016,113.275000000000000
